vendor,description,amount,category
Fruit Stall,Pantry groceries (reimbursable),5283.96,groceries
Website Hosting,Hosting renewal for office use,24851.08,office
Team Outing Organizers,Family day tickets,3413.61,entertainment
Saree Shop,Replacement charger,21901.56,other
Event Caterers,Lunch meeting order - urgent,16294.93,meals
Office Depot,Software license renewal,112648.48,office
Electrician Services,Dry clean,5311.56,maintenance
Internet Provider,Monthly electricity bill,31440.63,utilities
Google Workspace,Hosting renewal for office use,18712.28,office
Spencers,Healthy snacks,6037.69,groceries
Local Event,Cultural visit,1107.22,entertainment
FreshToHome,Healthy snacks,4860.34,groceries
Uber,Highway tolls,8744.94,transport
Dominos,Sandwiches for meeting,9962.21,meals
Veg Market,Fresh vegetables,859.12,groceries
Cafe Latte,Meal order lunch for office use,3171.9,meals
Toll Plaza,Van hire for office use,9877.91,transport
Croma,Hardware components - urgent,11336.2,office
Hotel Stay,Short-term team stay for office use,24234.27,accommodation
Fruit Stall,Organic bulk order (reimbursable),1344.65,groceries
Swiggy,Snacks and drinks,8521.54,meals
Dmart,Pantry groceries,1140.0,groceries
SpiceJet,Flight booking,17976.99,travel
Museum Tickets,Entertainment expense,3142.82,entertainment
Hotel Taj,Short-term team stay,1887.38,accommodation
Office Depot,Projector bulb replacement,15140.88,office
Payroll Fees,Stationery order,18183.72,office
Parking Fees,Shared ride to event,15353.07,transport
CloudStorage,Video streaming annual - urgent,25000.0,subscription
Toll Plaza,Car rental for client visit for office use,41019.75,transport
Cafe Latte,Pizza for staff,3071.77,meals
Hotel Taj,Short-term team stay (reimbursable),27939.68,accommodation
Bakery & Co,Meal order lunch (reimbursable),1939.61,meals
Printer Service,Stationery order,6962.71,office
Printer Service,Desk chair replacement,20446.84,office
Snack Shack,Lunch meeting order for office use,5872.55,meals
Organic Store,Office lunch ingredients,3238.99,groceries
IT Accessories,Projector bulb replacement (reimbursable),6430.28,office
Paytm,Charity contribution,4000.35,other
Zoomcar,Office commute,13923.07,transport
Zomato,Sandwiches for meeting - urgent,1899.27,meals
Metro Station,Car rental for client visit,13969.66,transport
IT Accessories,Domain registration,54745.58,office
Laundry Express,Fire extinguisher servicing for office use,3134.63,maintenance
Amazon,Printer ink purchase,35963.69,office
Zoomcar,Office travel,31039.56,transport
Audit Services,IT accessories purchase,32479.08,office
Hardware Store,Consultant fee,48194.24,office
HealthPlus Pharmacy,Gym membership,7222.26,health
Dental Clinic,Dental cleaning,1443.41,health
Uber,Office commute for office use,9252.32,transport
TaxiGo,Parking pass,25988.76,transport
Office Bazaar,Desk chair replacement,2499.0,office
Ola,Fuel refill for office use,4921.7,transport
IRCTC,Train ticket for business trip,3125.24,transport
Dominos,Team lunch,3077.13,meals
Zoomcar,Train ticket for business trip - urgent,36762.2,transport
IT Consultancy,Software license renewal,79757.02,office
Kids Event,Entertainment expense,2619.21,entertainment
Spotify,Monthly subscription,16345.88,subscription
Uber,Pickup to client site,6352.4,transport
CCD,Catering for seminar,6776.82,meals
Big Bazaar,Pantry groceries,1651.2,groceries
Spotify,Team productivity tool,3330.97,subscription
Reliance Fresh,Fruits for meeting,1519.79,groceries
Office Depot,Consultant fee for office use,15971.54,office
Office Depot,Annual audit fee (reimbursable),9192.1,office
Local Bakery,Catering for seminar,12916.86,meals
Website Hosting,Website hosting renewal - urgent,11445.77,office
FreshToHome,Office lunch ingredients,990.0,groceries
Printer Service,Printer ink purchase,47768.1,office
SBI ATM,Procurement agent fee,13168.92,other
SaaS Tools,Annual audit fee,16593.26,office
Organic Farm,Fruits for meeting,2060.69,groceries
Local Event,Event tickets - urgent,2656.76,entertainment
IRCTC,Pickup to client site,14762.93,transport
Flipkart,Website hosting renewal,12924.02,office
Big Bazaar,Weekly groceries,1586.93,groceries
Team Outing Organizers,Family day tickets,4471.85,entertainment
Sweets Corner,Breakfast meeting,6518.71,meals
TechCourses,Software license renewal,16033.66,office
SBI ATM,Payment gateway fees - urgent,19632.04,other
Local Bakery,Snacks and drinks,9620.83,meals
Audit Services,Website hosting renewal - urgent,73821.83,office
Sweets Corner,Client meal expense,2309.04,meals
Sweets Corner,Pizza for staff,4144.72,meals
Google Workspace,Stationery order,47172.24,office
HostelStay,Conference accommodation,50706.68,accommodation
Google Workspace,Team productivity tool - urgent,2186.49,subscription
Ola,Car rental for client visit,2260.78,transport
SaaS Tools,Domain registration,11274.87,office
IT Accessories,Hosting renewal - urgent,82757.98,office
TechCourses,IT accessories purchase,21624.27,office
Bakery & Co,Lunch meeting order,18549.72,meals
Printer Service,Monitor purchase,57020.95,office
Cafe Latte,Catering for seminar,3669.64,meals
TechCourses,Software license renewal,249578.11,office
Apparel Co,Procurement fee for office use,44101.04,other
Office Depot,Projector bulb replacement,16903.74,office
Event Caterers,Pastries for team,6211.97,meals
Website Hosting,Hosting renewal,1824.18,office
Donation,Insurance payment,8875.0,other
Metro Station,Car rental for client visit,64906.17,transport
Museum Tickets,Entertainment expense,7517.14,entertainment
Payroll Fees,Hardware components - urgent,4296.64,office
Car Wash,Train ticket for business trip - urgent,5718.4,transport
Croma,Monitor purchase,14399.95,office
IT Accessories,Monitor purchase,31661.09,office
Medical Checkup,Doctor consultation,6850.02,health
Cinema City,Family day tickets - urgent,4258.36,entertainment
Big Basket,Monthly groceries,1450.0,groceries
Airbnb,Client accommodation,10552.81,accommodation
Event Caterers,Client meal expense,4857.65,meals
Reliance Fresh,Organic bulk order for office use,4983.3,groceries
Amazon,Hardware components,47873.51,office
CloudStorage,Annual hosting renewal,1516.75,subscription
Parking Fees,Flight booking,21980.83,transport
Tea Stall,Breakfast meeting,2316.49,meals
Metro Station,Airport drop,3800.42,transport
Dominos,Breakfast meeting - urgent,24733.19,meals
Local Deli,Sandwiches for meeting,6834.65,meals
TaxiShare,Office commute,52939.11,transport
Hardware Store,Hosting renewal,13068.85,office
Conference Hall,Projector bulb replacement,18160.32,office
Local Deli,Breakfast meeting - urgent,2020.88,meals
IT Consultancy,IT accessories purchase,50253.5,office
IT Accessories,IT accessories purchase for office use,142143.57,office
Paytm,Replacement charger,21949.72,other
Parking Fees,Fuel refill (reimbursable),8025.49,transport
Bakery & Co,Snacks and drinks,2040.04,meals
Stationery Online,Cash withdrawal for petty cash for office use,6080.54,other
Others Vendor,Shoe sole replacement,4033.41,other
More Retail,Groceries for pantry,560.0,groceries
Local Grocer,Healthy snacks,645.37,groceries
Printer Service,Printer ink purchase,211432.8,office
Roof Repair,Roof repair after monsoon (reimbursable),1432.86,maintenance
Google Workspace,Annual audit fee,12574.69,office
Fruit Stall,Monthly groceries - urgent,1100.02,groceries
Printer Service,Hosting renewal,8584.7,office
Croma,Hosting renewal,7315.6,office
Snack Shack,Breakfast meeting - urgent,12090.45,meals
Office Bazaar,Software license renewal - urgent,9634.34,office
Blinkit,Snacks for meeting,340.0,groceries
Swiggy,Team coffee meeting for office use,9282.98,meals
TaxiShare,Van hire,17451.47,transport
Legal Fees,Legal fees,9514.69,other
Conference Hall,Printer ink purchase,40363.05,office
Snack Shack,Client meal expense,22719.4,meals
Zomato,Team lunch,1386.42,meals
Croma,Website hosting renewal,10934.02,office
Local Bakery,Meal order lunch,7823.66,meals
TaxiShare,Fuel refill,3979.75,transport
Hotel Taj,Client accommodation for office use,45990.73,accommodation
FuelPlus,Parking pass,4789.7,transport
Sweets Corner,Team coffee meeting - urgent,3544.84,meals
Dominos,Client meal expense,3234.68,meals
Meru Cabs,Flight booking,17384.7,transport
Meru Cabs,Highway tolls,8549.13,transport
Google Workspace,Desk chair replacement,13738.95,office
Vaccine Center,Flu shots for staff,14543.89,health
Snack Shack,Breakfast meeting,1706.01,meals
Big Basket,Pantry restock,2556.85,groceries
Subway,Lunch meeting order,2628.9,meals
Croma,Desk chair replacement,81476.44,office
Local Grocer,Pantry groceries,3936.24,groceries
Local Bakery,Snacks and drinks,46124.46,meals
Amazon,Conference supplies,7389.28,office
Office Depot,Projector bulb replacement,26589.18,office
ClinicCare,Flu shots for staff,8592.07,health
Office Bazaar,Hosting renewal - urgent,8612.83,office
Uber,Van hire,6147.22,transport
Shoe Repair,Legal fees,12036.92,other
Organic Store,Pantry groceries,3068.09,groceries
Croma,Desk chair replacement - urgent,10350.31,office
Uber,Train ticket for business trip - urgent,4302.47,transport
SaaS Tools,Conference supplies,71631.02,office
SaaS Tools,IT accessories purchase,53104.46,office
Swiggy,Snacks and drinks,3839.41,meals
FreshToHome,Snacks for meeting,1046.4,groceries
Printer Service,Monitor purchase,31806.26,office
Veg Market,Pantry restock - urgent,3053.1,groceries
Subway,Client meal expense,1284.99,meals
Parking Fees,Parking pass,13536.34,transport
Local Grocer,Organic bulk order - urgent,1313.99,groceries
Dominos,Pizza for staff,2733.74,meals
Others Vendor,Charity contribution,27674.49,other
Office Bazaar,Consultant fee,62569.38,office
IT Accessories,IT accessories purchase,27328.25,office
Flipkart,Hosting renewal,51337.22,office
Saree Shop,Insurance payment,4701.02,other
Organic Store,Monthly groceries,818.61,groceries
Croma,Annual audit fee,34299.17,office
Ola,Office commute,29669.36,transport
Spotify,Music subscription,2987.18,subscription
Local Deli,Lunch meeting order,3048.79,meals
Ola,Highway tolls for office use,11062.24,transport
Toll Plaza,Office commute,40359.9,transport
Booking.com,Offsite team housing - urgent,6322.01,accommodation
Audit Services,Desk chair replacement,97233.36,office
Metro Station,Pickup to client site,6334.86,transport
Team Outing Organizers,Streaming annual,4488.88,entertainment
Cafe Latte,Client dinner,2639.67,meals
Reliance Mart,Fresh vegetables,2836.41,groceries
Veggie Mart,Fruits for meeting,10459.73,groceries
Shell Petrol,Fuel refill,8357.08,transport
Yoga Studio,Doctor consultation - urgent,874.93,health
Veg Market,Pantry groceries,1327.54,groceries
SpiceJet,Van hire,3703.88,transport
Amazon,Office supplies purchase,1299.0,office
Tea Stall,Lunch meeting order,14066.61,meals
KFC,Lunch meeting order,4044.32,meals
FreshToHome,Pantry restock,3139.32,groceries
Office Bazaar,Domain registration,4993.6,office
Local Bakery,Meal order lunch,7838.54,meals
Spotify,Team productivity tool for office use,2634.05,subscription
Metro Station,Office travel,54495.78,transport
TaxiShare,Highway tolls for office use,5713.01,transport
Roof Repair,Roof repair after monsoon,4335.63,maintenance
Subway,Client meal expense,13850.68,meals
Event Caterers,Lunch meeting order,4003.28,meals
Conference Hotel,Conference accommodation,6139.39,accommodation
Local Bakery,Client dinner,20822.63,meals
Big Bazaar,Pantry restock,2548.36,groceries
Electrician Services,Fire extinguisher servicing,3319.94,maintenance
Snack Shack,Meal order lunch,2427.3,meals
Local Bakery,Meal order lunch - urgent,4916.05,meals
SaaS Tools,Conference supplies for office use,13053.26,office
Car Insurance,Phone recharge,7363.37,other
Uber,Pickup to client site - urgent,42053.81,transport
Meru Cabs,Office travel,6606.18,transport
Printer Service,Domain registration,19698.62,office
SpiceJet,Train ticket for business trip,20345.21,travel
TechCourses,IT accessories purchase for office use,56508.07,office
Big Bazaar,Snacks for meeting,5525.1,groceries
Google Workspace,Projector bulb replacement,17781.51,office
Office Depot,Hardware components for office use,7672.29,office
Plumber Co,Monthly office security,1289.18,maintenance
CCD,Team lunch - urgent,2386.71,meals
Parking Fees,Office travel,15661.35,transport
Uber,Van hire,11440.1,transport
Sweets Corner,Meal order lunch (reimbursable),5565.52,meals
Subway,Team lunch sandwiches,650.0,meals
IRCTC,Business visa processing,7899.44,travel
Uber,Evening drop,190.0,transport
Payroll Fees,Hardware components for office use,43845.16,office
Website Hosting,Domain registration,20083.61,office
Website Hosting,Conference supplies - urgent,39648.53,office
Printer Service,Annual audit fee for office use,19365.58,office
Reliance Mart,Office lunch ingredients,2553.78,groceries
Ola,Car rental for client visit for office use,8023.02,transport
Conference Hotel,Offsite team housing - urgent,8886.8,accommodation
Hotel Stay,Offsite team housing (reimbursable),44935.37,accommodation
Hardware Store,Website hosting renewal,46265.28,office
Tea Stall,Lunch meeting order,2831.42,meals
Office Depot,Printer paper bulk,1120.0,office
Sweets Corner,Pastries for team,20274.55,meals
Plumber Co,Monthly office security,1526.39,maintenance
Cafe Mocha,Client dinner,9501.05,meals
IRCTC,Shared ride to event,8582.43,transport
Ola,Highway tolls for office use,2683.56,transport
Internet Provider,Monthly electricity bill,16948.76,utilities
SpiceJet,Fuel refill,42538.67,transport
CCD,Snacks and drinks,1936.99,meals
Netflix,Monthly subscription,2123.61,subscription
Payroll Fees,Stationery order,16064.0,office
Car Wash,Train ticket for business trip,54538.34,transport
Office Bazaar,Desk chair replacement for office use,250000.0,office
Legal Fees,Procurement agent fee,4179.68,other
Ola,Shared ride to event,12534.45,transport
Office Bazaar,Consultant fee,18102.36,office
Conference Hall,Conference supplies,19070.65,office
Donation,Procurement fee,3048.06,other
FreshToHome,Fresh vegetables,1118.91,groceries
Local Deli,Lunch meeting order,4431.75,meals
Website Hosting,Consultant fee,45330.27,office
FuelPlus,Shared ride to event,4165.33,transport
IRCTC,Train ticket for business trip,2450.0,transport
SBI ATM,Legal fees - urgent,10115.88,other
Google Workspace,Projector bulb replacement,122350.59,office
Netflix,Video streaming annual (reimbursable),4999.38,subscription
Google Workspace,Stationery order,89956.45,office
Dmart,Snacks for meeting,4745.97,groceries
Uber,Car rental for client visit for office use,12560.11,transport
Zoomcar,Car rental for client visit - urgent,21005.71,transport
Croma,Hosting renewal,39425.32,office
Flipkart,Stationery order for office use,13238.56,office
Office Bazaar,IT accessories purchase,3263.33,office
Laundry House,Monthly office security,4356.47,maintenance
Audit Services,Software license renewal,23602.4,office
Cafe Latte,Lunch meeting order,4563.54,meals
Audit Services,Website hosting renewal,43292.14,office
Google Workspace,Video streaming annual,1960.6,subscription
KFC,Client meal expense,9021.46,meals
Car Wash,Parking pass,2469.75,transport
IRCTC,Business visa processing for office use,12553.11,travel
Snack Shack,Sandwiches for meeting,6649.56,meals
IT Consultancy,Annual audit fee,27022.73,office
Streaming Service,Team productivity tool,2045.25,subscription
Wheels Rental,Airport drop,43416.34,transport
Amazon,Hosting renewal - urgent,7784.98,office
Electricity Board,Gas cylinder refill,100000.0,utilities
Vaccine Center,Flu shots for staff,4307.78,health
Office Depot,Stationery order,870.0,office
Stationery Online,Miscellaneous expense,947.91,other
Croma,Conference supplies,15664.54,office
Big Basket,Pantry restock,3448.86,groceries
Audit Services,Stationery order - urgent,13852.7,office
Toll Plaza,Flight booking,8012.07,transport
Big Basket,Grocery purchase,4776.76,groceries
Ola,Airport drop,29693.85,transport
Cafe Mocha,Snacks and drinks,4717.49,meals
Google Workspace,IT accessories purchase for office use,22684.87,office
Ola,Office commute,14164.53,transport
TravelAgent,Business visa processing,7795.08,travel
FreshToHome,Fruits for meeting,5503.7,groceries
SaaS Tools,Annual audit fee,25732.63,office
Veggie Mart,Fruits for meeting (reimbursable),2982.0,groceries
Dominos,Client dinner,2408.93,meals
Amazon,Stationery order,51155.72,office
Croma,Monitor purchase,8900.0,office
Spencers,Weekly groceries,3977.8,groceries
Fruit Stall,Fruits for meeting,14138.04,groceries
TaxiGo,Fuel refill,33905.16,transport
TechCourses,Monitor purchase for office use,11782.29,office
Local Deli,Client meal expense (reimbursable),2031.98,meals
Cafe Mocha,Lunch meeting order (reimbursable),1285.39,meals
Reliance Fresh,Pantry restock,1290.0,groceries
IRCTC,Airport drop,26838.95,transport
Croma,Stationery order (reimbursable),136637.33,office
Google Workspace,Team productivity tool,1931.76,subscription
TechCourses,Consultant fee,66419.69,office
Local Grocer,Monthly groceries,518.6,groceries
Booking.com,Guest lodging,3497.97,accommodation
Zomato,Client dinner,17332.12,meals
Event Caterers,Team lunch,4785.35,meals
Others Vendor,Miscellaneous expense,560.0,other
Big Bazaar,Office lunch ingredients,2833.56,groceries
Blinkit,Office lunch ingredients,6012.97,groceries
Zoomcar,Parking pass,13050.77,transport
Conference Hall,Annual audit fee - urgent,8176.01,office
CloudStorage,Monthly subscription,795.76,subscription
Subway,Client dinner,34552.12,meals
Payroll Fees,Stationery order - urgent,31026.87,office
Snack Shack,Client dinner,25267.72,meals
Google Workspace,Printer ink purchase,9021.77,office
Big Bazaar,Healthy snacks,2206.02,groceries
Tea Stall,Team lunch - urgent,1216.13,meals
Sweets Corner,Client meal expense - urgent,2993.23,meals
Legal Fees,Procurement agent fee,4477.34,other
SaaS Tools,IT accessories purchase,55252.07,office
TaxiGo,Van hire,7410.34,transport
TaxiShare,Van hire,76117.2,transport
Payroll Fees,Shoe sole replacement for office use,26595.6,other
Uber,Airport drop,3014.01,transport
Event Caterers,Breakfast meeting,5530.14,meals
Wheels Rental,Fuel refill,9669.14,transport
Kids Event,Event tickets for office use,1038.29,entertainment
Hardware Store,Software license renewal,14155.84,office
Google Workspace,Domain registration,12060.6,office
Car Wash,Highway tolls,24256.17,transport
Parking Fees,Office travel,10583.43,transport
Flipkart,Projector bulb replacement,31966.05,office
Payroll Fees,Shoe sole replacement,8980.9,other
Printer Service,Annual audit fee,14084.23,office
Sweets Corner,Snacks and drinks,20058.61,meals
Fruit Stall,Organic bulk order - urgent,3865.75,groceries
SaaS Tools,Desk chair replacement,8591.64,office
IT Consultancy,Software license renewal,16137.45,office
Spencers,Organic bulk order,860.41,groceries
InsuranceCo,Insurance payment - urgent,4387.58,other
Subway,Sandwiches for meeting for office use,2427.73,meals
KFC,Client dinner,5918.63,meals
Hardware Store,Printer ink purchase (reimbursable),44609.46,office
Meru Cabs,Car rental for client visit for office use,16048.8,transport
Veg Market,Monthly groceries,7358.05,groceries
Local Bakery,Breakfast meeting,4358.89,meals
Fruit Stall,Office lunch ingredients,422.08,groceries
TaxiShare,Parking pass,1791.64,transport
Amazon,Conference supplies,24394.56,office
IT Accessories,IT accessories purchase,37434.23,office
Audit Services,Hardware components - urgent,123393.56,office
PharmaPlus,First-aid supplies - urgent,22327.76,health
IRCTC,Van hire - urgent,19384.19,transport
Apparel Co,Charity contribution (reimbursable),11601.55,other
Electricity Board,Emergency water supply,9845.17,utilities
Bakery & Co,Lunch meeting order for office use,6092.81,meals
Metro Station,Daily metro card recharge,300.0,transport
Car Wash,Airport drop,19723.71,transport
Zomato,Client dinner,980.0,meals
Local Deli,Breakfast meeting,1263.29,meals
IT Consultancy,Conference supplies,23695.59,office
Tea Stall,Lunch meeting order,9031.13,meals
ClinicCare,OTC medicines,1610.86,health
Office Depot,Hosting renewal,10897.33,office
CloudStorage,Extra cloud backup - urgent,6493.74,subscription
SBI ATM,Phone recharge,7197.35,other
Website Hosting,Annual audit fee,4755.75,office
Office Bazaar,Domain registration - urgent,242637.05,office
FuelPlus,Airport drop,27179.05,transport
Conference Hotel,Short-term team stay - urgent,13240.61,accommodation
Office Bazaar,Annual audit fee,8854.87,office
Zomato,Sandwiches for meeting,9319.04,meals
Car Insurance,Procurement fee,7650.78,other
Water Supply,Internet monthly bill,4977.19,utilities
Security Services,Cleaning service,4419.18,maintenance
Event Caterers,Snacks and drinks,34893.12,meals
Kids Event,Entertainment expense,453.48,entertainment
Toll Plaza,Office travel (reimbursable),10452.85,transport
Google Workspace,Hosting renewal - urgent,19134.0,office
Reliance Mart,Healthy snacks - urgent,3160.36,groceries
Local Bakery,Pizza for staff,2695.84,meals
Plumber Co,Cleaning service,15892.93,maintenance
IT Accessories,Conference supplies,53402.76,office
Electrician Services,Restroom repair,1656.46,maintenance
More Retail,Weekly groceries - urgent,16539.94,groceries
Paytm,Charity contribution,9598.84,other
TaxiShare,Flight booking,14078.55,transport
Amazon,Domain registration,47922.43,office
SpiceJet,Office commute - urgent,17058.89,transport
Reliance Fresh,Grocery purchase,1590.04,groceries
Visa Services,Travel agent fee - urgent,18787.8,travel
Office Bazaar,Consultant fee - urgent,87091.48,office
Organic Store,Office lunch ingredients (reimbursable),11493.43,groceries
Flipkart,Monitor purchase,29828.12,office
Flipkart,Projector bulb replacement,165183.95,office
Croma,Monitor purchase,19623.29,office
Electricity Board,RO service and refill,11536.38,utilities
Blinkit,Fruits for meeting (reimbursable),2806.21,groceries
Cafe Latte,Client dinner,4556.44,meals
Hotel Stay,Conference accommodation (reimbursable),17853.15,accommodation
Internet Provider,RO service and refill for office use,9181.95,utilities
Water Tanker,Emergency water supply,14797.69,utilities
FuelPlus,Office commute,12262.89,transport
FreshToHome,Snacks for meeting,6053.61,groceries
IRCTC,Business visa processing,2931.71,travel
TaxiGo,Highway tolls,1861.48,transport
TechCourses,Projector bulb replacement - urgent,11230.09,office
Hotel Stay,Offsite team housing,9759.03,accommodation
Local Deli,Catering for seminar,11019.18,meals
Amazon,Software license renewal,40233.77,office
Printer Service,Gift for guest speaker,10616.4,other
TechCourses,Projector bulb replacement,58750.94,office
Subway,Catering for seminar,12725.96,meals
Apparel Co,Insurance payment - urgent,28420.68,other
Event Caterers,Client meal expense - urgent,8019.19,meals
Meru Cabs,Office travel,37908.93,transport
Payroll Fees,Desk chair replacement for office use,79795.68,office
Meru Cabs,Flight booking,25865.75,transport
Payroll Fees,Procurement agent fee for office use,11962.33,other
Audit Services,Consultant fee,35423.03,office
TaxiShare,Train ticket for business trip (reimbursable),6561.03,transport
Local Deli,Meal order lunch,12718.86,meals
Local Event,Cultural visit,25000.0,entertainment
Website Hosting,Desk chair replacement,9961.31,office
Swiggy,Meal order lunch,350.0,meals
Sweets Corner,Client meal expense,4865.56,meals
Local Bakery,Client dinner,6005.66,meals
Cafe Latte,Lunch meeting order,6120.6,meals
Reliance Mart,Weekly groceries,3090.24,groceries
Hardware Store,Hardware components for office use,13756.33,office
Tea Stall,Pizza for staff,16866.06,meals
Office Bazaar,Consultant fee for office use,12587.74,office
IT Accessories,Hardware components for office use,13744.75,office
Cafe Latte,Client dinner,1013.67,meals
Parking Fees,Office commute - urgent,26774.18,transport
Dmart,Pantry groceries,685.94,groceries
FuelPlus,Shared ride to event,4665.63,transport
Booking.com,Short-term team stay,17355.09,accommodation
More Retail,Monthly groceries,3691.27,groceries
Audit Services,Website hosting renewal for office use,6863.33,office
Payroll Fees,Website hosting renewal,250000.0,office
Subway,Pizza for staff,27208.83,meals
Reliance Mart,Grocery purchase,5380.71,groceries
Cafe Mocha,Breakfast meeting,7887.28,meals
Event Caterers,Lunch meeting order,22568.27,meals
Croma,Consultant fee,17052.87,office
Fruit Stall,Office lunch ingredients,1278.29,groceries
Flipkart,Domain registration,38284.3,office
Audit Services,Stationery order for office use,63247.23,office
Wheels Rental,Car rental for client visit - urgent,1539.33,transport
Hardware Store,Monitor purchase,35423.58,office
Hardware Store,Conference supplies (reimbursable),6796.48,office
Croma,Conference supplies,63570.78,office
Zomato,Pizza for staff,10192.43,meals
Ola,Parking pass,16753.73,transport
Event Caterers,Client meal expense,2665.83,meals
Audit Services,Conference supplies,17427.25,office
Car Wash,Van hire,6080.9,transport
Shoe Repair,Cash withdrawal for petty cash,4500.42,other
Bakery & Co,Snacks and drinks (reimbursable),10530.54,meals
Spencers,Office lunch ingredients,5463.75,groceries
Metro Station,Airport drop,4265.77,transport
IT Consultancy,Domain registration,6530.11,office
Reliance Mart,Fruits for meeting,1947.31,groceries
CCD,Pastries for team for office use,5109.06,meals
Swiggy,Team coffee meeting,3599.78,meals
Flipkart,Monitor purchase,20083.72,office
Security Services,Restroom repair,7764.74,maintenance
TaxiShare,Train ticket for business trip,13454.54,transport
Event Caterers,Snacks and drinks,13206.3,meals
Electrician Services,Monthly garden maintenance,6743.95,maintenance
Hardware Store,Conference supplies - urgent,5571.87,office
Cinema City,Cultural visit,3435.73,entertainment
Donation,Phone recharge,21169.82,other
Reliance Mart,Weekly groceries,3089.24,groceries
IRCTC,Train ticket for business trip,5340.55,transport
TaxiGo,Car rental for client visit (reimbursable),2233.02,transport
Dmart,Pantry groceries,1404.9,groceries
IT Accessories,Consultant fee,75912.2,office
Local Deli,Meal order lunch,12520.39,meals
Parking Fees,Highway tolls,4169.8,transport
Cafe Latte,Sandwiches for meeting,3530.81,meals
Audit Services,Annual audit fee,30522.78,office
Uber,Highway tolls,15675.9,transport
Big Basket,Pantry groceries,285.0,groceries
Organic Store,Monthly groceries,8632.76,groceries
TravelAgent,Train ticket for business trip,15263.54,travel
Museum Tickets,Streaming annual,12490.92,entertainment
Toll Plaza,Shared ride to event,71945.19,transport
Netflix,Annual hosting renewal - urgent,9526.35,subscription
Uber,Shared ride to event (reimbursable),28676.73,transport
TechCourses,Printer ink purchase,48095.89,office
FuelPlus,Flight booking,3270.34,transport
Plumber Co,Monthly garden maintenance,3163.95,maintenance
Parking Fees,Flight booking,6141.92,transport
KFC,Client meal expense,820.0,meals
Audit Services,IT accessories purchase,140951.66,office
Veg Market,Healthy snacks,1039.86,groceries
Office Bazaar,Printer ink purchase,14255.59,office
Parking Fees,Office commute,3054.67,transport
Local Deli,Catering for seminar,9809.62,meals
Reliance Mart,Organic bulk order,2554.72,groceries
Audit Services,Stationery order - urgent,6483.04,office
Cafe Mocha,Catering for seminar,1667.35,meals
Stationery Online,Replacement charger - urgent,18249.19,other
InsuranceCo,Legal fees (reimbursable),9922.46,other
Website Hosting,Hardware components,89338.18,office
Hardware Store,Consultant fee,15435.03,office
KFC,Pastries for team,3344.61,meals
Local Grocer,Monthly groceries (reimbursable),1287.37,groceries
Printer Service,Desk chair replacement,5210.36,office
Shell Petrol,Office travel,18480.57,transport
Reliance Fresh,Fruits for meeting - urgent,6901.97,groceries
Reliance Mart,Grocery purchase,5127.49,groceries
Office Depot,Website hosting renewal for office use,10089.41,office
Reliance Fresh,Weekly groceries,3766.24,groceries
Payroll Fees,Consultant fee,116002.62,office
Sweets Corner,Team coffee meeting for office use,4879.04,meals
Office Bazaar,Stationery order,20584.2,office
IT Accessories,Printer ink purchase,4120.57,office
IT Accessories,Stationery order,250000.0,office
Fire Safety,Monthly garden maintenance,1251.6,maintenance
Printer Service,Procurement agent fee for office use,5430.51,other
Shoe Repair,Cash withdrawal for petty cash,10910.59,other
Amazon,Extension cords & cables,680.0,office
Parking Fees,Van hire,15339.32,transport
Meru Cabs,Fuel refill,6219.14,transport
Hotel Booking,Train ticket for business trip,11451.4,travel
Audit Services,Website hosting renewal,17043.89,office
Conference Hall,Consultant fee,40136.63,office
Medical Checkup,Annual employee checkup,2037.62,health
SpiceJet,Parking pass,12622.85,transport
Medical Checkup,Annual employee checkup for office use,6708.82,health
Meru Cabs,Airport drop,680.0,transport
Local Bakery,Meal order lunch,7616.51,meals
Local Deli,Pizza for staff - urgent,6522.27,meals
Cafe Mocha,Meal order lunch for office use,1415.82,meals
Zomato,Snacks and drinks,2060.49,meals
Streaming Service,Event tickets,5933.11,entertainment
Spencers,Weekly groceries,890.0,groceries
TaxiGo,Parking pass,4996.17,transport
Internet Provider,Emergency water supply,11739.44,utilities
Local Bakery,Snacks and drinks,6057.79,meals
Flipkart,Website hosting renewal,12913.2,office
SaaS Tools,Stationery order,34543.9,office
Cafe Latte,Snacks and drinks,443.63,meals
Amazon,Consultant fee,30189.16,office
Toll Plaza,Parking pass - urgent,13096.8,transport
Printer Service,Stationery order,15162.41,office
SaaS Tools,Hardware components,21682.67,office
Office Bazaar,Conference supplies,19026.3,office
Subway,Lunch meeting order,13266.45,meals
Spencers,Pantry restock,9760.68,groceries
Gym Monthly,Employee wellness class (reimbursable),5150.34,health
Medical Checkup,Flu shots for staff - urgent,19649.1,health
Payroll Fees,Cash withdrawal for petty cash,17757.93,other
Ola,Office travel,260.0,transport
Parking Fees,Highway tolls - urgent,10653.08,transport
Snack Shack,Pastries for team - urgent,812.04,meals
Others Vendor,Charity contribution,9673.11,other
CCD,Team lunch,6192.08,meals
Subway,Client dinner,2668.63,meals
IT Accessories,Domain registration,46119.88,office
Saree Shop,Replacement charger for office use,3735.03,other
Payroll Fees,Insurance payment,8212.03,other
Car Wash,Train ticket for business trip,4385.46,transport
SaaS Tools,Monitor purchase,199860.94,office
Streaming Service,Extra cloud backup - urgent,6538.13,subscription
Subway,Sandwiches for meeting,4166.66,meals
